timestamp,X,Y,Lux
1631821633.207968,2182,2630,2434
1631821633.267726,2182,2630,2844
1631821633.340708,2183,2626,2844
1631821633.414855,2183,2625,2844
1631821633.480883,2183,2624,2844
1631821633.54104,2183,2623,2844
1631821633.606558,2182,2623,2844
1631821633.671813,2182,2622,2844
1631821633.733589,2182,2622,3124
1631821633.796215,2181,2621,3124
1631821633.861768,2181,2621,3124
1631821633.925269,2181,2620,3124
1631821633.988719,2180,2620,3124
1631821634.05289,2180,2619,3124
1631821634.118664,2180,2619,3124
1631821634.182554,2180,2619,3124
1631821634.263923,2179,2619,3184
1631821634.340499,2179,2618,3184
1631821634.515646,2163,2556,3184
1631821634.580267,2157,2554,3184
1631821634.65615,2156,2553,3184
1631821634.740577,2154,2553,3674
1631821634.80636,2154,2552,3674
1631821634.868531,2153,2551,3674
1631821634.936467,2153,2550,3674
1631821635.002245,2152,2550,3674
1631821635.067724,2152,2549,3674
1631821635.142382,2151,2549,3674
1631821635.211736,2151,2548,4094
1631821635.289507,2151,2548,4094
1631821635.372951,2150,2547,4094
1631821635.444068,2150,2546,4094
1631821635.511456,2150,2546,4094
1631821635.578631,2150,2545,4094
1631821635.65665,2149,2544,4094
1631821635.716355,2149,2544,4254
1631821635.786484,2149,2543,4254
1631821635.860423,2149,2543,4254
1631821635.926652,2149,2542,4254
1631821635.987555,2149,2542,4254
1631821636.056204,2150,2541,4254
1631821636.117719,2150,2541,4254
1631821636.180691,2150,2541,4254
1631821636.242897,2150,2540,4584
1631821636.309518,2150,2539,4584
1631821636.3739,2150,2539,4584
1631821636.437446,2149,2538,4584
1631821636.499626,2149,2538,4584
1631821636.565667,2149,2537,4584
1631821636.628913,2149,2537,4584
1631821636.69387,2149,2536,4584
1631821636.754972,2149,2535,4794
1631821636.820638,2149,2535,4794
1631821636.884596,2149,2535,4794
1631821636.949518,2149,2534,4794
1631821637.010933,2149,2533,4794
1631821637.080615,2149,2532,4794
1631821637.156964,2149,2532,4794
1631821637.225567,2149,2531,4964
1631821637.298579,2149,2531,4964
1631821637.365636,2149,2530,4964
1631821637.430431,2149,2530,4964
1631821637.491677,2149,2529,4964
1631821637.555616,2149,2528,4964
1631821637.62458,2149,2527,4964
1631821637.704481,2148,2527,4964
1631821637.7814,2148,2526,4934
1631821637.844463,2148,2526,4934
1631821637.913695,2148,2525,4934
1631821637.987802,2148,2525,4934
1631821638.051812,2148,2524,4934
1631821638.116025,2148,2523,4934
1631821638.181537,2148,2523,4934
1631821638.245693,2147,2522,5084
1631821638.308753,2147,2522,5084
1631821638.369918,2147,2521,5084
1631821638.437439,2147,2521,5084
1631821638.500419,2147,2520,5084
1631821638.563587,2147,2520,5084
1631821638.625807,2147,2519,5084
1631821638.691578,2147,2519,5084
1631821638.756972,2146,2519,5144
1631821638.819759,2146,2518,5144
1631821638.881397,2146,2518,5144
1631821638.948547,2146,2517,5144
1631821639.010641,2146,2517,5144
1631821639.07631,2146,2517,5144
1631821639.13804,2146,2516,5144
1631821639.204863,2146,2516,5144
1631821639.270977,2146,2516,5094
1631821639.33605,2145,2515,5094
1631821639.395986,2145,2514,5094
1631821639.464894,2145,2514,5094
1631821639.542557,2145,2514,5094
1631821639.6221,2145,2513,5094
1631821639.68364,2145,2513,5094
1631821639.752354,2145,2513,5344
1631821639.811415,2144,2512,5344
1631821639.876417,2144,2512,5344
1631821639.937436,2144,2511,5344
1631821640.003982,2144,2511,5344
1631821640.06771,2144,2511,5344
1631821640.132208,2144,2511,5344
1631821640.193427,2144,2510,5344
1631821640.262622,2144,2510,5284
1631821640.323669,2144,2510,5284
1631821640.392401,2143,2510,5284
1631821640.450303,2143,2509,5284
1631821640.516453,2143,2509,5284
1631821640.582023,2143,2509,5284
1631821640.648558,2143,2508,5284
1631821640.721479,2143,2508,5294
1631821640.792587,2142,2508,5294
1631821640.861666,2142,2507,5294
1631821640.931718,2142,2507,5294
1631821640.994246,2141,2507,5294
1631821641.060759,2141,2506,5294
1631821641.125336,2141,2506,5294
1631821641.190054,2141,2506,5294
1631821641.250652,2141,2505,5244
1631821641.318348,2140,2505,5244
1631821641.395914,2140,2505,5244
1631821641.461991,2139,2504,5244
1631821641.521807,2139,2504,5244
1631821641.588368,2138,2503,5244
1631821641.650631,2138,2503,5244
1631821641.716345,2138,2502,5094
1631821641.777597,2137,2502,5094
1631821641.842647,2137,2501,5094
1631821641.906844,2136,2501,5094
1631821641.969422,2135,2501,5094
1631821642.033836,2135,2500,5094
1631821642.100487,2134,2500,5094
1631821642.163712,2133,2499,5094
1631821642.226738,2133,2499,5034
1631821642.289052,2132,2498,5034
1631821642.353824,2131,2498,5034
1631821642.420393,2130,2498,5034
1631821642.486962,2130,2497,5034
1631821642.54541,2129,2497,5034
1631821642.610752,2128,2496,5034
1631821642.676554,2127,2496,5034
1631821642.74026,2127,2495,4794
1631821642.802656,2126,2495,4794
1631821642.866668,2125,2495,4794
1631821642.931471,2125,2494,4794
1631821642.998949,2124,2494,4794
1631821643.072593,2124,2493,4794
1631821643.142182,2123,2492,4794
1631821643.203923,2123,2492,4794
1631821643.267623,2122,2492,4604
1631821643.329832,2122,2491,4604
1631821643.397685,2122,2491,4604
1631821643.459605,2121,2490,4604
1631821643.522393,2121,2489,4604
1631821643.58566,2120,2489,4604
1631821643.653613,2120,2488,4604
1631821643.730422,2120,2488,4774
1631821643.7986,2120,2487,4774
1631821643.873378,2119,2487,4774
1631821643.938837,2119,2487,4774
1631821644.002543,2119,2487,4774
1631821644.088082,2115,2482,4774
1631821644.162601,2115,2482,4774
1631821644.228662,2114,2481,5014
1631821644.290579,2113,2481,5014
1631821644.356601,2113,2480,5014
1631821644.418184,2112,2480,5014
1631821644.487489,2111,2479,5014
1631821644.546502,2111,2479,5014
1631821644.610331,2111,2479,5014
1631821644.673447,2110,2479,5014
1631821644.742451,2110,2478,4634
1631821644.804251,2109,2478,4634
1631821644.870374,2109,2478,4634
1631821644.92944,2109,2478,4634
1631821645.000895,2108,2477,4634
1631821645.075539,2108,2477,4634
1631821645.143397,2107,2477,4634
1631821645.21635,2107,2476,4474
1631821645.283316,2107,2476,4474
1631821645.345331,2107,2476,4474
1631821645.409329,2106,2476,4474
1631821645.472848,2106,2475,4474
1631821645.540387,2106,2475,4474
1631821645.60629,2105,2475,4474
1631821645.665428,2105,2475,4474
1631821645.729328,2104,2474,3764
1631821645.794684,2104,2474,3764
1631821645.859394,2104,2473,3764
1631821645.922469,2104,2473,3764
1631821645.984719,2103,2472,3764
1631821646.049922,2102,2472,3764
1631821646.114516,2102,2471,3764
1631821646.178774,2101,2471,3764
1631821646.24089,2100,2471,2924
1631821646.306837,2100,2470,2924
1631821646.372352,2100,2470,2924
1631821646.439462,2100,2470,2924
1631821646.513175,2099,2469,2924
1631821646.578891,2099,2469,2924
1631821646.643033,2099,2469,2924
1631821646.707664,2099,2469,2344
1631821646.768099,2098,2468,2344
1631821646.834065,2098,2468,2344
1631821646.900628,2098,2467,2344
1631821646.965186,2097,2467,2344
1631821647.025197,2096,2466,2344
1631821647.091492,2096,2466,2344
1631821647.155413,2096,2466,2344
1631821647.220492,2095,2465,1604
1631821647.282595,2094,2465,1604
1631821647.34729,2094,2464,1604
1631821647.410019,2094,2464,1604
1631821647.476485,2093,2464,1604
1631821647.540696,2093,2463,1604
1631821647.604949,2092,2463,1604
1631821647.669505,2092,2462,1604
1631821647.749668,2092,2462,1114
1631821647.823408,2091,2461,1114
1631821647.891715,2091,2461,1114
1631821647.954357,2091,2461,1114
1631821648.01984,2090,2460,1114
1631821648.082624,2090,2460,1114
1631821648.146959,2089,2460,1114
1631821648.21089,2089,2459, 814
1631821648.374038,1821,2329, 814
1631821648.450438,1820,2329, 814
1631821648.513755,1820,2330, 814
1631821648.576597,1819,2330, 814
1631821648.642541,1818,2330, 814
1631821648.707667,1817,2331, 884
1631821648.771554,1817,2331, 884
1631821648.832545,1816,2331, 884
1631821648.901189,1816,2330, 884
1631821648.96356,1816,2330, 884
1631821649.02479,1816,2331, 884
1631821649.088647,1816,2331, 884
1631821649.15604,1815,2331, 884
1631821649.218838,1814,2331,1114
1631821649.282322,1814,2331,1114
1631821649.343591,1813,2331,1114
1631821649.409332,1812,2331,1114
1631821649.474423,1811,2330,1114
1631821649.539027,1810,2330,1114
1631821649.60011,1809,2330,1114
1631821649.666765,1808,2329,1114
1631821649.731069,1808,2329,1704
1631821649.794296,1808,2329,1704
1631821649.857326,1808,2329,1704
1631821649.921555,1807,2329,1704
1631821649.986327,1807,2329,1704
1631821650.049888,1806,2329,1704
1631821650.111669,1805,2328,1704
1631821650.177773,1805,2328,1704
1631821650.243311,1805,2328,2324
1631821650.322842,1804,2327,2324
1631821650.399327,1804,2327,2324
1631821650.495336,1571,2427,2324
1631821650.561305,1571,2426,2324
1631821650.62651,1570,2426,2324
1631821650.72755,1554,2437,2604
1631821650.800458,1552,2439,2604
1631821650.867404,1550,2440,2604
1631821650.929543,1549,2441,2604
